,titles,authors,dates
1249,Has there been any work on attempting to use Pascal's Mugging to make an AGI behave?Q,Chris_Leong,3mo
1250,High Powers Over Physics,DragonGod,3mo
1251,Alignment Risk Doesn't Require Superintelligence,JustisMills,3mo
1252,A Butterfly's View of Probability,Gabriel Wu,3mo
1253,Favourite new AI productivity tools?Q,Gabriel Mukobi,3mo
1254,I applied for a MIRI job in 2020. Here's what happened next.,ViktoriaMalyasova,3mo
1255,"Yes, AI research will be substantially curtailed if a lab causes a major disaster",lc,3mo
1256,Slow motion videos as AI risk intuition pumps,Andrew_Critch,3mo
1257,Cryptographic Life: How to transcend in a sub-lightspeed world via Homomorphic encryption,Golol,3mo
1258,Blake Richards on Why he is Skeptical of Existential Risk from AI,Michaël Trazzi,3mo
1259,How Do You Quantify [Physics Interfacing] Real World Capabilities?Q,DragonGod,3mo
1260,Was the Industrial Revolution The Industrial Revolution?,Davis Kedrosky,3mo
1261,Investigating causal understanding in LLMsΩ,"Marius Hobbhahn, Tom Lieberum",3mo
1262,Why multi-agent safety is important ,Akbir Khan,3mo
1263,Resources I send to AI researchers about AI safety,Vael Gates,3mo
1264,Vael Gates: Risks from Advanced AI (June 2022),Vael Gates,3mo
1265,"OpenAI: GPT-based LLMs show ability to discriminate between its own wrong answers, but inability to explain how/why it makes that discrimination, even as model scales",Aditya Jain,3mo
1266,Was Eliezer Yudkowsky right to give himself 10% to succeed with HPMoR in 2010?Q,amaury lorin,3mo
1267,Continuity AssumptionsΩ,Jan_Kulveit,3mo
1268,Crypto-fed Computation,aaguirre,3mo
1269,Contra EY: Can AGI destroy us without trial & error?,Nikita Sokolsky,3mo
1270,[Link] New SEP article on Bayesian Epistemology,Aryeh Englander,3mo
1271,Training Trace PriorsΩ,Adam Jermyn,3mo
1272,Can you MRI a deep learning model?Q,Yair Halberstadt,3mo
1273,On A List of Lethalities,Zvi,3mo
1274,D&D.Sci June 2022 Evaluation and Ruleset,abstractapplic,3mo
1275,"What's the ""This AI is of moral concern."" fire alarm?Q",Quintin Pope,3mo
1276,Code Quality and Rule Consequentialism,Adam Zerner,3mo
1277,"Who said something like ""The fact that putting 2 apples next to 2 other apples leads to there being 4 apples there has nothing to do with the fact that 2 + 2 = 4""?Q",hunterglenn,3mo
1278,What are some smaller-but-concrete challenges related to AI safety that are impacting people today?,nonzerosum,3mo
1279,The beautiful magical enchanted golden Dall-e Mini is underrated,p.b.,3mo
1280,Why so little AI risk on rationalist-adjacent blogs?,Grant Demaree,3mo
1281,Grokking “Semi-informative priors over AI timelines”,anson.ho,3mo
1282,How much does cybersecurity reduce AI risk?Q,Darmani,3mo
1283,How are compute assets distributed in the world?Q,Chris van Merwijk,3mo
1284,Intuitive Explanation of AIXI,Thomas Larsen,3mo
1285,Why all the fuss about recursive self-improvement?,So8res,3mo
1286,Why the Kaldor-Hicks criterion can be non-transitive,Rupert,3mo
1287,How do you post links here?Q,skybrian,3mo
1288,Pure Altruism,Matt Goldwater,3mo
1289,How To: A Workshop (or anything),Duncan_Sabien,3mo
1290,A claim that Google's LaMDA is sentient,Ben Livengood,3mo
1291,How much stupider than humans can AI be and still kill us all through sheer numbers and resource access?Q,shminux,3mo
1292,Let's not name specific AI labs in an adversarial context,acylhalide,3mo
1293,Filter out tags from the front page?Q,"jaspax, Yoav Ravid",3mo
1294,ELK Proposal - Make the Reporter care about the Predictor’s beliefsΩ,"Adam Jermyn, Nicholas Schiefer",3mo
1295,Why has no person / group ever taken over the world? Q,"Aryeh Englander, jimrandomh",3mo
1296,Poorly-Aimed Death Rays,Thane Ruthenis,3mo
1297,AGI Safety Communications Initiative,ines,3mo
1298,Why don't you introduce really impressive people you personally know to AI alignment (more often)?Q,"Verden, outerloper",3mo
1299,Godzilla StrategiesΩ,johnswentworth,3mo
1300,Steganography and the CycleGAN - alignment failure case study,Jan Czechowski,3mo
1301,The Mountain Troll,lsusr,3mo
1302,Show LW: YodaTimer.com,Adam Zerner,3mo
1303,How fast can we perform a forward pass?,jsteinhardt,3mo
1304,Are there English-speaking meetups in Frankfurt/Munich/Zurich?Q,Grant Demaree,3mo
1305,Beauty and the Beast,Tomás B.,3mo
1306,A gaming group for rationality-aware people,dhatas,3mo
1307,"Summary of ""AGI Ruin: A List of Lethalities""",Stephen McAleese,3mo
1308,How dangerous is human-level AI?,Alex_Altair,3mo
1309,"Another plausible scenario of AI risk: AI builds military infrastructure while collaborating with humans, defects later.",avturchin,3mo
1310,"Leaving Google, Joining the Nucleic Acid Observatory",jefftk,3mo
1311,Progress Report 6: get the tool working,Nathan Helm-Burger,4mo
1312,"I No Longer Believe Intelligence to be ""Magical""",DragonGod,4mo
1313,[linkpost] The final AI benchmark: BIG-bench,RomanS,4mo
1314,Could Patent-Trolling delay AI timelines?Q,Pablo Repetto,4mo
1315,Kolmogorov's AI ForecastQ,interstice,4mo
1316,"Tao, Kontsevich & others on HLAI in Math",interstice,4mo
1317,A plausible story about AI risk.,DeLesley Hutchins,4mo
1318,Open Problems in AI X-Risk [PAIS #5]Ω,"Dan Hendrycks, ThomasW",4mo
1319,why assume AGIs will optimize for fixed goals?QΩ,"nostalgebraist, Rob Bensinger",4mo
1320,Bureaucracy of AIs,Logan Zoellner,4mo
1321,"On The Spectrum, On The Guest List: (v) The Fleur Room",party girl,3mo
1322,Is AI Alignment Impossible?Q,Heighn,4mo
1323,You Only Get One Shot: an Intuition Pump for Embedded AgencyΩ,Oliver Sourbut,4mo
1324,Forestalling Atmospheric IgnitionQ,Conor Sullivan,4mo
1325,How Do Selection Theorems Relate To Interpretability?Ω,johnswentworth,4mo
1326,"Progress links and tweets, 2022-06-08",jasoncrawford,4mo
1327,"If no near-term alignment strategy, research should aim for the long-term ",harsimony,4mo
1328,Operationalizing two tasks in Gary Marcus’s AGI challenge,Bill Benzon,4mo
1329,Why it's bad to kill Grandma,dynomight,4mo
1330,Modeling humanity's robustness to GCRs?Q,rodeo_flagellum,4mo
1331,"If there was a millennium equivalent prize for AI alignment, what would the problems be?Q",Yair Halberstadt,4mo
1332,Book Review: How the World Became Rich,Davis Kedrosky,4mo
1333,Website For Yoda Timers,Adam Zerner,4mo
1334,AI Could Defeat All Of Us Combined,HoldenKarnofsky,4mo
1335,The “mind-body vicious cycle” model of RSI & back pain,Steven Byrnes,4mo
1336,[Linkpost & Discussion] AI Trained on 4Chan Becomes ‘Hate Speech Machine’ [and outperforms GPT-3 on TruthfulQA Benchmark?!],Yitz,4mo
1337,Covid 6/9/22: Nice,Zvi,4mo
1338,"Comment reply: my low-quality thoughts on why CFAR didn't get farther with a ""real/efficacious art of rationality""",AnnaSalamon,4mo
1339,Entitlement as a major amplifier of unhappiness,VipulNaik,4mo
1340,Silly Online RulesQ,Gunnar_Zarncke,4mo
1341,"Untypical SIA

",avturchin,4mo
1342,Eliciting Latent Knowledge (ELK) - Distillation/SummaryΩ,Marius Hobbhahn,4mo
1343,Transformer Research Questions from Stained Glass Windows,StefanHex,4mo
1344,Why I don't believe in doom,mukashi,4mo
1345,Has anyone actually tried to convince Terry Tao or other top mathematicians to work on alignment?Q,"P., TekhneMakre",4mo
1346,Steelmanning Marxism/CommunismQ,Suh_Prance_Alot,4mo
1347,Staying Split: Sabatini and Social Justice,Duncan_Sabien,4mo
1348,Puddle Temperature Alarm,jefftk,4mo
1349,"""Pivotal Acts"" means something specific",Raemon,4mo
1350,Embodiment is Indispensable for AGI,P. G. Keerthana Gopalakrishnan,4mo
1351,Stephen Wolfram's ideas are under-appreciated,Kenny,4mo
1352,Who models the models that model models? An exploration of GPT-3's in-context model fitting abilityΩ,Lovre,4mo
1353,How Does Cognitive Performance Translate to Real World Capability?Q,DragonGod,4mo
1354,"On The Spectrum, On The Guest List: (iv) Silencio",party girl,4mo
1355,Confused Thoughts on AI Afterlife (seriously)Q,Epirito,4mo
1356,Thinking about Broad Classes of Utility-like Functions,Jemist,4mo
1357,Thoughts on Formalizing Composition,Tom Lieberum,4mo
1358,AGI Safety FAQ / all-dumb-questions-allowed thread,Aryeh Englander,4mo
1359,Pitching an Alignment Softball,mu_(negative),4mo
1360,We will be around in 30 years,mukashi,4mo
1361,Where to Live for Happiness,ethanmorse,4mo
1362,"A descriptive, not prescriptive, overview of current AI Alignment ResearchΩ","Jan, Logan Riggs, jacquesthibs, janus",4mo
1363,We haven't quit evolution [short],the gears to ascenscion,4mo
1364,Grokking “Forecasting TAI with biological anchors”Ω,anson.ho,4mo
1365,"DALL-E 2 - Unofficial Natural Language Image Editing, Art Critique Survey",bakztfuture,4mo
1366,Health & Lifestyle Interventions With Heavy-Tailed Outcomes?Q,MondSemmel,4mo
1367,Reading the ethicists 2: Hunting for AI alignment papersΩ,Charlie Steiner,4mo
1368,Some ideas for follow-up projects to Redwood Research’s recent paperΩ,JanBrauner,4mo
1369,Give the model a model-builder,Adam Jermyn,4mo
1370,What journaling prompts do you use?Q,ChristianKl,4mo
1371,Why do some people try to make AGI?,TekhneMakre,4mo
1372,Miriam Yevick on why both symbols and networks are necessary for artificial minds,Bill Benzon,4mo
1373,Optimization and Adequacy in Five Bullets,james.lucassen,4mo
1374,Microphone on Electric Mandolin II,jefftk,4mo
1375,We Should Break Up Elite Colleges,sahajsharda,4mo
1376,What board games would you recommend?Q,Yair Halberstadt,4mo
1377,Transcript of a Twitter Discussion on EA from June 2022,Zvi,4mo
1378,AGI Ruin: A List of LethalitiesΩ,Eliezer Yudkowsky,4mo
1379,Noisy environment regulate utility maximizers,Niclas Kupper,4mo
1380,Expected Value vs. Expected Growth,tom-pollak,4mo
1381,New cooperation mechanism - quadratic funding without a matching pool,Filip Sondej,4mo
1382,The Fourth Arena 2: New beings in time,Bill Benzon,4mo
1383,"Russian x-risks newsletter May 2022 + short history of ""methodologists""",avturchin,4mo
1384,Some questions I've been pondering...,Dalton Mabery,4mo
1385,Teaching all things to all people in all ways,Anonymous,4mo
1386,Northboro Air Quality Measurement,jefftk,4mo
1387,Reinventing the wheel,jasoncrawford,4mo
1388,What do you do to deliberately practice?,hath,4mo
1389,Quick Look: Asymptomatic Herpes Shedding,Elizabeth,4mo
1390,How to pursue a career in technical AI alignment,charlie.rs,4mo
1391,"The Fourth Arena: What’s Up in the world these days? We’re moving to a new, a new what? ",Bill Benzon,4mo
1392,Towards a Formalisation of Returns on Cognitive Reinvestment (Part 1),DragonGod,4mo
1393,Does quantum mechanics predict all the effects of relativity except gravity?Q,"EniScien, Razied",4mo
1394,Deep Learning Systems Are Not Less Interpretable Than Logic/Probability/EtcΩ,johnswentworth,4mo
1395,Announcing the Alignment of Complex Systems Research GroupΩ,"Jan_Kulveit, technicalities",4mo
1396,Eternal youth as eternal suffering,shminux,4mo
1397,"D&D.Sci June 2022: A Goddess Tried To Reincarnate Me Into A Fantasy World, But I Insisted On Using Data Science To Select An Optimal Combination Of Cheat Skills!",abstractapplic,4mo
1398,The Burden of Worldbuilding,lsusr,4mo
1399,Longtermist Consequences of a New Dark Age?Q,David Udell,4mo
1400,Open & Welcome Thread - June 2022 ,MondSemmel,4mo
1401,Just Say No to Utilitarianism,Arjun Panickssery,4mo
1402,The STEM Attractor,David Udell,4mo
1403,Book Review: Talent,Zvi,4mo
1404,"On The Spectrum, On The Guest List: (iii) Etiquette",party girl,4mo
1405,Give the AI safe tools,Adam Jermyn,4mo
1406,"I'm trying out ""asteroid mindset""",Alex_Altair,4mo
1407,Monthly Shorts 5/22,Celer,4mo
1408,"On effective altruism, utilitarianism and localness",David Hugh-Jones,4mo
1409,[Linkpost] A Chinese AI optimized for killing,RomanS,4mo
1410,Intergenerational trauma impeding cooperative existential safety efforts,Andrew_Critch,4mo
1411,Silliness,lsusr,4mo
1412,"[MLSN #4]: Many New Interpretability Papers, Virtual Logit Matching, Rationalization Helps RobustnessΩ",Dan Hendrycks,4mo
1413,A short conceptual explainer of Immanuel Kant's Critique of Pure Reason,jessicata,4mo
1414,"Adversarial training, importance sampling, and anti-adversarial training for AI whistleblowingΩ",Buck,4mo
1415,Rationality camps in Oxford for 16-20 yo: Apply by June 12th,Anna Gajdova,4mo
1416,Another Calming Example,jefftk,4mo
1417,"Confused why a ""capabilities research is good for alignment progress"" position isn't discussed moreΩ",Kaj_Sotala,4mo
1418,Announcing a contest: EA Criticism and Red Teaming,fin,4mo
1419,Fact post: project-based learning,dominicq,4mo
1420,The case for using the term 'steelmanning' instead of 'principle of charity',ChristianKl,4mo
1421,"The horror of what must, yet cannot, be true",Kaj_Sotala,4mo
1422,Paradigms of AI alignment: components and enablersΩ,Vika,4mo
1423,The Bio Anchors Forecast,Ansh Radhakrishnan,4mo
1424,Covid 6/2/22: Declining to Respond,Zvi,4mo
1425,Public beliefs vs. Private beliefs,Eli Tyre,4mo
1426,Probability that the President would win election against a random adult citizen?Q,"Daniel Kokotajlo, Zvi",4mo
1427,"Revisiting ""Why Global Poverty""",jefftk,4mo
1428,What will happen when an all-reaching AGI starts attempting to fix human character flaws?Q,Michael Bright,4mo
1429,Any prior work on mutiagent dynamics for continuous distributions over agents?Q,Quintin Pope,4mo
1430,[Repost] Non-Nashian Game Theory: A Normal-Form Primer,Ghislain Fourny,4mo
1431,Machines vs Memes Part 3: Imitation and Memes,ceru23,4mo
1432,Rationalism in an Age of Egregores,David Udell,4mo
1433,Wielding civilization,dominicq,4mo
1434,Artificial Intelligence Safety for the Averagely Intelligent,Salsabila Mahdi,4mo
1435,Formation via nucleation of boltzmann brainsQ,Zeruel017,4mo
1436,Machines vs. Memes 2: Memetically-Motivated Model Extensions,naterush,4mo
1437,Machines vs Memes Part 1: AI Alignment and Memetics,Harriet Farlow,4mo
1438,The Hard Intelligence Hypothesis and Its Bearing on Succession Induced Foom,DragonGod,4mo
1439,Paper: Teaching GPT3 to express uncertainty in wordsΩ,Owain_Evans,4mo
1440,What is the state of Chinese AI research?Q,Ratios,4mo
1441,The Brain That Builds Itself,Jan,4mo
1442,Is there any formal argument that climate change needs to more extreme weather events?Q,"ChristianKl, jbash",4mo
1443,"Progress links and tweets, 2022-05-30",jasoncrawford,4mo
1444,The Reverse Basilisk,Dunning K.,4mo
1445,Deliberate Grieving,Raemon,1mo
1446,Perform Tractable Research While Avoiding Capabilities Externalities [Pragmatic AI Safety #4]Ω,"Dan Hendrycks, ThomasW",4mo
1447,A terrifying variant of Boltzmann's brains problemQ,Zeruel017,4mo
1448,Ceiling Air Purifier,jefftk,4mo
1449,Notion template for personal predictions,Arjun Yadav,4mo
1450,Six Dimensions of Operational Adequacy in AGI ProjectsΩ,Eliezer Yudkowsky,3mo
1451,My SERI MATS Application,Daniel Paleka,4mo
1452,Reshaping the AI IndustryΩ,Thane Ruthenis,4mo
1453,The Unbearable Lightness of Web Vulnerabilities,aiiixiii,4mo
1454,Finding the Right Problem,tobot,4mo
1455,The impact you might have working on AI safety,Fabien,4mo
1456,The Problem With The Current State of AGI DefinitionsΩ,Yitz,4mo
1457,Request for nice questions to think about while trying to sleepQ,oh54321,4mo
1458,Will working here advance AGI? Help us not destroy the world!,Yonatan Cale,4mo
1459,Passable Puppet,burmesetheater,4mo
1460,"Multiple AIs in boxes, evaluating each other's alignment",Moebius314,4mo
1461,How would you build Dath Ilan on earth?Q,"Yair Halberstadt, dkirmani",4mo
1462,Distributed DecisionsΩ,johnswentworth,4mo
1463,Distilled - AGI Safety from First Principles,Harrison G,4mo
1464,"What have been the major ""triumphs"" in the field of AI over the last ten years?Q",lc,4mo
1465,Utilitarianism,C S SRUTHI,4mo
1466,Bayesian Persuasion?Q,Karthik Tadepalli,4mo
1467,An inquiry into the thoughts of twenty-five people in India,KatjaGrace,4mo
1468,Understanding Selection Theorems,adamk,4mo
1469,What is Going On With CFAR?Q,"niplav, AnnaSalamon",4mo
1470,Functional Analysis Reading Group,Ulisse Mini,4mo
1471,"Infernal Corrigibility, Fiendishly Difficult",David Udell,4mo
1472,New Water Quality x Obesity Dataset Available,Elizabeth,4mo
1473,Bootstrapping Language Models,harsimony,4mo
1474,Sneaking Suspicion,benwr,4mo
1475,Range and Forecasting Accuracy,niplav,4mo
1476,"Croesus, Cerberus, and the magpies: a gentle introduction to Eliciting Latent Knowledge",Alexandre Variengien,4mo
1477,Deconfusing Landauer's Principle,euanmclean,4mo
1478,"On The Spectrum, On The Guest List: (ii) LAVO",party girl,4mo
1479,Can growth continue?,jasoncrawford,4mo
1480,An academic journal is just a Twitter feed,David Hugh-Jones,4mo
1481,Grabby Animals: Observation-selection effects favor the hypothesis that UAP are animals which consist of the “field-matter”: ,avturchin,4mo
1482,"Iterated Distillation-Amplification, Gato, and Proto-AGI [Re-Explained]",Gabriel Mukobi,4mo
1483,"Where Utopias Go Wrong, or: The Four Little Planets",ExCeph,4mo
1484,A Story of AI Risk: InstructGPT-N,peterbarnett,4mo
1485,Resources For the Redwood Research Triplebyte Test,Aiyen,4mo
1486,The Pointers Problem - Distilled,NinaR,4mo
1487,Infra-Bayesianism Distillation: Realizability and Decision Theory,Thomas Larsen,4mo
1488,"On inner and outer alignment, and their confusion",NinaR,4mo
1489,The misguided pursuit of existentialism and absurdism in combatting nihilism,Sundae,4mo
1490,Brass Puppet,abramdemski,4mo
1491,"A discussion of the paper, ""Large Language Models are Zero-Shot Reasoners""",HiroSakuraba,4mo
1492,"Moral Weights of Six Animals, Considering Viewpoint Uncertainty - Seeds of Science call for reviewers",rogersbacon,4mo
1493,CNN feature visualization in 50 lines of code,StefanHex,4mo
1494,How much white collar work could be automated using existing ML models?Q,AM,4mo
1495,Benign Boundary Violations,Duncan_Sabien,3mo
1496,Here's a List of Some of My Ideas for Blog Posts,lsusr,4mo
1497,View and bet in Manifold prediction markets on Lesswrong,Sinclair Chen,4mo
1498,"Right now, you're sitting on a REDONKULOUS opportunity to help solve AGI (and rake in $$$)",Trevor1,4mo
1499,Experience LessWrong without the Time-Wasting RabbitHole Effect,joraine,4mo
1500,Covid 5/26/22: I Guess I Should Respond To This Week’s Long Covid Study,Zvi,4mo
1501,Testing Air Purifiers,jefftk,4mo
1502,How to get people to produce more great exposition? Some strategies and their assumptions,riceissa,4mo
1503,Request for small textbook recommendationsQ,Alex_Altair,4mo
1504,Science-informed normativity,Richard_Ngo,4mo
1505,Reflections on a year of college,unoptimal,4mo
1506,"The ""Measuring Stick of Utility"" ProblemΩ",johnswentworth,4mo
1507,What's The Best Place to Look When You Have A Question About x?Q,Jalen Lyle-Holmes,4mo
1508,RL with KL penalties is better seen as Bayesian inferenceΩ,"Tomek Korbak, Ethan Perez",4mo
1509,A Quick Note on AI Scaling Asymptotes,alyssavance,4mo
1510,Visible Homelessness in SF: A Quick Breakdown of Causes,alyssavance,4mo
1511,autonomy: the missing AGI ingredient?Ω,nostalgebraist,4mo
1512,Explaining inner alignment to myself,Jeremy Gillen,4mo
1513,MERV Filters for Covid?,jefftk,4mo
1514,Google's Imagen uses larger text encoder,Ben Livengood,4mo
1515,"Endpoint Specification, or Good Help is Hard to Find",ACrackedPot,4mo
1516,Game Theory and Partner Abuse,arielleplus,4mo
1517,I only believe in the paranormal,Malmesbury,4mo
1518,The No Free Lunch theorems and their RazorΩ,Adrià Garriga-alonso,4mo
1519,Synthetic Media and The Future of Film,ifalpha,4mo
1520,Complex Systems for AI Safety [Pragmatic AI Safety #3]Ω,"Dan Hendrycks, ThomasW",4mo
1521,Mandatory Post About Monkeypox,Zvi,4mo
1522,Why I Define My Experience At the Monastic Academy As Sexual Assault,HS2021,4mo
1523,"Contra Astral Codex Ten's ""On Sexy In-Laws""",Dalton Mabery,4mo
1524,Why I'm Worried About AI,peterbarnett,4mo
1525,Bits of Optimization Can Only Be Lost Over A DistanceΩ,johnswentworth,4mo
1526,[Alignment] Is there a census on who's working on what?Q,Cedar,4mo
1527,Finding Your Voice,Evenflair,4mo
1528,Science for the Possible World,Zechen Zhang,4mo
1529,AXRP Episode 15 - Natural Abstractions with John WentworthΩ,DanielFilan,4mo
1530,PSA: The Sequences don't need to be read in sequence,kave,4mo
1531,Gradations of AgencyΩ,Daniel Kokotajlo,4mo
1532,[fiction]A Question of Perspective,Elias,4mo
1533,Monkeypox: explaining the jump to Europe,AllAmericanBreakfast,4mo
1534,How curing aging could help progress,jasoncrawford,4mo
1535,Adversarial attacks and optimal controlΩ,Jan,4mo
1536,My Take On Philosophy,Matt Goldwater,4mo
1537,What kinds of algorithms do multi-human imitators learn?,"Chris van Merwijk, Joar Skalse",4mo
1538,Are human imitators superhuman models with explicit constraints on capabilities?,Chris van Merwijk,4mo
1539,The value of x-risk reduction,NathanBarnard,4mo
1540,"On The Spectrum, On The Guest List",party girl,4mo
1541,An Agent Based Consciousness Model (unfortunately it's not computable),Logan Zoellner,4mo
1542,Help! What do I say at my wedding?Q,Jonathan Task,4mo
1543,Wormy the Worm,River Lewis,4mo
1544,Philosophical considerations of cessation of brain activity,clockwork,4mo
1545,[Short version] Information Loss --> Basin flatnessΩ,Vivek Hebbar,4mo
1546,Information Loss --> Basin flatnessΩ,Vivek Hebbar,4mo
1547,The Future of Nuclear War,avturchin,4mo
1548,Clarifying what ELK is trying to achieve,Simon Skade,4mo
1549,How Big Are Covid Particles?,jefftk,4mo
1550,[retracted] A really simplistic experiment for LessWrong and /r/SneerClub,NicholasKross,4mo
1551,"Who is available for contract work? (A la the Hacker News ""Who Wants To Be Hired"" threads)Q",nonzerosum,4mo
1552,Why does gradient descent always work on neural networks?Q,"MichaelDickens, lalaithion",4mo
1553,Beware boasting about non-existent forecasting track records,Jotto999,4mo
1554,How RL Agents Behave When Their Actions Are Modified? [Distillation post]Ω,PabloAMC,4mo
1555,Over-digitalization: A Prelude to Analogia (Chapter 6) ,Justin Bullock,4mo
1556,Podcast: Spencer Greenberg talks to me about dealing with our groupstruckness and boundedness,KatjaGrace,4mo
1557,Proclamation of game-theoretic emergence,dr_diagoras,4mo
1558,How has the total amount of gain-of-function research worldwide grown/shrunk over time?Q,johnswentworth,4mo
1559,14 Techniques to Accelerate Your Learning,"spencerg, Florence Hinder",4mo
1560,Formula for a Shortage,Zvi,4mo
1561,Covid 5/19/22: The Law of Five,Zvi,4mo
1562,Should you kiss it better?Q,Yair Halberstadt,4mo
1563,Looking for AI / Application Engineer @ OpenPrinciples -- Help people align actions with principles,ti_guo,4mo
1564,We have achieved Noob Gains in AIΩ,phdead,4mo
1565,A possible check against motivated reasoning using elicit.org,david reinstein,4mo
1566,Reading the ethicists: A review of articles on AI in the journal Science and Engineering Ethics,Charlie Steiner,4mo
1567,Maxent and Abstractions: Current Best ArgumentsΩ,johnswentworth,4mo
1568,Framing Practicum: Dynamic Programming,aysajan,4mo
1569,How to get into AI safety researchΩ,Stuart_Armstrong,4mo
1570,A bridge to Dath Ilan?  Improved governance on the critical path to AI alignment.,Jackson Wagner,4mo
1571,Understanding Gato's Supervised Reinforcement Learning,Lorenzo Rex,4mo
1572,Gato's Generalisation: Predictions and Experiments I'd Like to SeeΩ,Oliver Sourbut,4mo
1573,I just watched the Open C3 Subcommittee Hearing on Unidentified Aerial Phenomena (UFOs). Here's a succinct summary and commentary + some background,MakoYass,4mo
1574,Feminism and Femininity,NathanBarnard,4mo
1575,What's up with the recent monkeypox cases?Q,"johnswentworth, AllAmericanBreakfast",4mo
1576,Workday Air Quality Measurements,jefftk,4mo
1577,Popular education in Sweden: much more than you wanted to know,Henrik Karlsson,4mo
1578,On saving one's world,Rob Bensinger,4mo
1579,Proposal: Twitter dislike button,KatjaGrace,4mo
1580,Formula for Dying Babies,Zvi,4mo
1581,"[Intro to brain-like-AGI safety] 15. Conclusion: Open problems, how to help, AMAΩ",Steven Byrnes,4mo
1582,What are the possible trajectories of an AGI/ASI world?,Jakobovski,4mo
1583,"The ""Adults in the Room""",David Udell,4mo
1584,D&D.Sci Divination: Nine Black Doves Evaluation & Ruleset,aphyer,4mo
1585,Feature request: draft comments,AllAmericanBreakfast,4mo
1586,BERI is seeking new collaborators (2022),sawyer,4mo
1587,Actionable-guidance and roadmap recommendations for the NIST AI Risk Management FrameworkΩ,"Dan Hendrycks, Tony Barrett",4mo
1588,How to invest in expectation of AGI?,Jakobovski,4mo
1589,"DeepMind’s generalist AI, Gato: A non-technical explainer","frances_lorenz, Nora Belrose, jonmenaster",4mo
1590,[link] The Lion and the Worm,TsviBT,4mo
1591,"[Link] New Stanford Encyclopedia of Philosophy article, ""Normative Theories of Rational Choice: Rivals to Expected Utility""",Aryeh Englander,4mo
1592,Proxy misspecification and the capabilities vs. value learning raceΩ,Sam Marks,4mo
1593,Optimization at a DistanceΩ,johnswentworth,4mo
1594,"To what extent is your AGI timeline bimodal or otherwise ""bumpy""?Q",jchan,4mo
1595,The Cuban missile crisis: the strategic context,NathanBarnard,4mo
1596,Why I'm Optimistic About Near-Term AI Risk,harsimony,4mo
1597,China Covid #3,Zvi,4mo
1598,BIDA Air Quality Measurements,jefftk,4mo
1599,Definition Practice: Applied RationalityQ,ChristianKl,4mo
1600,Surviving Automation In The 21st Century - Part 1,George3d6,4mo
1601,The AI Countdown Clock,River Lewis,4mo
1602,Is AI Progress Impossible To Predict?,alyssavance,4mo
1603,My Morality,Matt Goldwater,4mo
1604,Gato as the Dawn of Early AGI,David Udell,4mo
1605,Should we buy Google stock?Q,Sergio Manuel Justo Maceda,4mo
1606,Is it possible to implement switching between sequences from its pages?Q,EniScien,4mo
1607,[Link post] Promising Paths to Alignment - Connor Leahy | Talk,frances_lorenz,4mo
1608,Inequality is inseparable from markets ,NathanBarnard,4mo
1609,Predicting the Elections with Deep Learning - Part 1 - Results,Quentin Chenevier,4mo
1610,Clarifying the confusion around inner alignmentΩ,Rauno Arike,4mo
1611,What's up with the font size in the Markdown text editor?Q,Ege Erdil,4mo
1612,Costs and benefits of amniocentesis for normal pregnancies,braces,4mo
1613,Frame for Take-Off Speeds to inform compute governance & scaling alignmentΩ,Logan Riggs,4mo
1614,Alignment as ConstraintsΩ,Logan Riggs,4mo
1615,How close to nuclear war did we get over Cuba?,NathanBarnard,4mo
1616,Against Time in Agent ModelsΩ,johnswentworth,4mo
1617,Agency As a Natural AbstractionΩ,Thane Ruthenis,4mo
1618,Fermi estimation of the impact you might have working on AI safety,Fabien,4mo
1619,"""Tech company singularities"", and steering them to reduce x-risk",Andrew_Critch,4mo
1620,An observation about Hubinger et al.'s framework for learned optimizationΩ,Spencer Becker-Kahn,4mo
1621,The Economics of a New Energy Source Q,hatta_afiq,4mo
1622,Thoughts on AI Safety Camp,Charlie Steiner,4mo
1623,Deferring,owencb,4mo
1624,Still possible to change username?Q,gabrielrecc,4mo
1625,"[Rough notes, BAIS] Human values and cyclical preferences","pranomostro, Jayjay, Lucie Philippon",4mo
1626,Can moderators fix old sequences posts?Q,EniScien,4mo
1627,DeepMind is hiring for the Scalable Alignment and Alignment TeamsΩ,"Rohin Shah, Geoffrey Irving",4mo
1628,RLHF,Ansh Radhakrishnan,4mo
1629,What to do when starting a business in an imminent-AGI world?Q,ryan_b,4mo
1630,Interpretability’s Alignment-Solving Potential: Analysis of 7 ScenariosΩ,Evan R. Murphy,4mo
1631,Introduction to the sequence: Interpretability Research for the Most Important CenturyΩ,Evan R. Murphy,4mo
1632,A tentative dialogue with a Friendly-boxed-super-AGI on brain uploads,Ramiro P.,4mo
1633,The Last Paperclip,Logan Zoellner,4mo
1634,Deepmind's Gato: Generalist AgentΩ,Daniel Kokotajlo,4mo
1635,"""A Generalist Agent"": New DeepMind Publication",1a3orn,4mo
1636,What's keeping concerned capabilities gain researchers from leaving the field?Q,sovran,4mo
1637,Positive outcomes under an unaligned AGI takeover,Yitz,4mo
1638,Covid 5/12/22: Other Priorities,Zvi,4mo
1639,How would public media outlets need to be governed to cover all political views?Q,ChristianKl,4mo
1640,What are your recommendations for technical AI alignment podcasts?Q,Evan_Gaensbauer,4mo
